City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,tanah rata,4.475,101.3704,61.43,94.0,90.0,1.83,MY,1683839727.0
232,egilsstadir,65.2653,-14.3948,46.31,76.0,0.0,12.66,IS,1683839727.0
233,turpan,42.9333,89.1667,75.02,12.0,70.0,1.52,CN,1683839728.0
234,puerto lempira,15.2667,-83.7667,86.14,70.0,40.0,13.8,HN,1683839728.0
235,acarau,-2.8856,-40.12,79.72,83.0,44.0,8.81,BR,1683839728.0
236,dongola,19.1667,30.4833,93.94,10.0,35.0,8.41,SD,1683839729.0
237,kununurra,-15.7667,128.7333,64.38,42.0,3.0,5.75,AU,1683839730.0
238,xinyuan,37.3,99.0,25.84,69.0,98.0,2.24,CN,1683839730.0
239,lycksele,64.5954,18.6735,53.47,50.0,100.0,3.44,SE,1683839730.0
240,boca do acre,-8.7522,-67.3978,78.44,92.0,71.0,2.3,BR,1683839731.0
241,kulhudhuffushi,6.6221,73.07,83.88,77.0,93.0,10.6,MV,1683839731.0
242,ak-suu,42.4995,78.527,51.44,29.0,59.0,8.14,KG,1683839731.0
243,urcos,-13.6861,-71.6228,60.69,55.0,99.0,5.28,PE,1683839732.0
244,papatowai,-46.5619,169.4708,50.77,89.0,100.0,12.03,NZ,1683839732.0
245,xiangxiang,27.7333,112.5333,57.09,91.0,9.0,1.83,CN,1683839732.0
246,general toshevo,43.7,28.0333,46.13,80.0,15.0,1.01,BG,1683839733.0
247,tshabong,-26.05,22.45,68.27,25.0,51.0,6.4,BW,1683839733.0
248,afaahiti,-17.75,-149.2833,80.47,94.0,100.0,22.75,PF,1683839734.0
249,lianga,8.6336,126.0947,74.79,95.0,98.0,1.43,PH,1683839734.0
250,dunedin,-45.8742,170.5036,52.81,76.0,100.0,11.01,NZ,1683839516.0
251,motygino,58.1831,94.7592,37.26,70.0,100.0,1.72,RU,1683839740.0
252,fale old settlement,-9.3852,-171.2468,83.62,78.0,100.0,14.03,TK,1683839740.0
253,fuyu,45.1833,124.8167,61.3,33.0,100.0,14.18,CN,1683839740.0
254,candolim,15.5181,73.7626,83.61,81.0,100.0,3.47,IN,1683839741.0
255,yabelo,4.8833,38.0833,58.55,80.0,65.0,5.39,ET,1683839741.0
256,buritizeiro,-17.3511,-44.9622,81.75,41.0,90.0,4.14,BR,1683839741.0
257,nadi,-17.8,177.4167,82.4,65.0,20.0,10.36,FJ,1683839742.0
258,magadan,59.5667,150.8,33.44,89.0,100.0,5.57,RU,1683839742.0
259,voi,-3.3945,38.563,70.38,80.0,95.0,5.82,KE,1683839742.0
260,auki,-8.7676,160.7034,80.58,85.0,96.0,5.01,SB,1683839743.0
261,hassi messaoud,31.6804,6.0729,87.51,17.0,83.0,17.83,DZ,1683839743.0
262,muzayri',,,,,,,,
263,port macquarie,-31.4333,152.9167,50.9,90.0,7.0,4.21,AU,1683839744.0
264,vorgashor,67.5833,63.95,9.05,98.0,83.0,4.16,RU,1683839744.0
265,alameda,37.5999,-121.8844,73.26,56.0,0.0,10.36,US,1683839544.0
266,coahuayana de hidalgo,18.7,-103.6583,90.03,50.0,26.0,8.75,MX,1683839745.0
267,mahibadhoo,3.7833,72.9667,82.81,79.0,100.0,16.42,MV,1683839745.0
268,praia,14.9215,-23.5087,73.94,73.0,20.0,13.8,CV,1683839745.0
269,fabens,31.5023,-106.1586,83.52,6.0,0.0,16.75,US,1683839745.0
270,ilulissat,69.2167,-51.1,28.42,80.0,100.0,17.27,GL,1683839746.0
271,akrehamn,59.2667,5.1833,46.42,100.0,100.0,5.75,NO,1683839746.0
272,udachny,66.4167,112.4,34.45,69.0,100.0,12.84,RU,1683839746.0
273,port alfred,-33.5906,26.891,63.18,96.0,82.0,1.99,ZA,1683839747.0
274,namibe,-15.1961,12.1522,73.8,74.0,4.0,6.13,AO,1683839747.0
275,tromso,69.6496,18.957,44.62,87.0,75.0,9.22,NO,1683839748.0
276,daru,-9.0763,143.2092,77.07,96.0,100.0,14.34,PG,1683839653.0
277,nanao,37.05,136.9667,52.18,69.0,0.0,7.65,JP,1683839749.0
278,pokrovsk,48.282,37.1758,43.59,84.0,11.0,6.2,UA,1683839749.0
279,hauterive,46.0901,3.4459,48.96,95.0,58.0,0.87,FR,1683839668.0
280,sandakan,5.8402,118.1179,76.15,91.0,69.0,3.53,MY,1683839750.0
281,damongo,,,,,,,,
282,al jawf,29.5,38.75,81.32,11.0,0.0,13.49,SA,1683839751.0
283,wanganui,-39.9333,175.05,46.6,94.0,19.0,3.0,NZ,1683839751.0
284,tranovaho,,,,,,,,
285,zonguldak,41.25,31.8333,44.6,96.0,100.0,2.39,TR,1683839751.0
286,pozanti,37.4278,34.8717,64.76,40.0,100.0,2.13,TR,1683839752.0
287,paraty,-23.2178,-44.7131,69.08,96.0,76.0,3.06,BR,1683839752.0
288,riyadh,24.6877,46.7219,86.14,14.0,1.0,11.14,SA,1683839753.0
289,puerto baquerizo moreno,-0.9,-89.6,81.59,83.0,75.0,13.8,EC,1683839549.0
290,puerto san jose,13.9256,-90.8244,89.33,59.0,8.0,12.28,GT,1683839753.0
291,lerwick,60.1545,-1.1494,48.2,90.0,2.0,8.12,GB,1683839700.0
292,nogliki,51.8333,143.1667,34.21,88.0,36.0,2.71,RU,1683839754.0
293,saldanha,-33.0117,17.9442,57.61,63.0,95.0,24.02,ZA,1683839754.0
294,bardai,11.65,7.2333,84.54,38.0,68.0,2.62,NG,1683839620.0
295,nuuk,64.1835,-51.7216,36.21,93.0,75.0,17.27,GL,1683839537.0
296,senanga,-16.1167,23.2667,65.25,36.0,2.0,4.85,ZM,1683839755.0
297,ochobo,7.183,7.9769,84.94,63.0,44.0,7.58,NG,1683839755.0
298,dammam,26.4344,50.1033,84.31,23.0,0.0,3.44,SA,1683839756.0
299,rio gallegos,-51.6226,-69.2181,50.05,66.0,0.0,13.8,AR,1683839756.0
300,yoloten,37.2989,62.3597,73.56,42.0,54.0,8.46,TM,1683839761.0
301,tual,-5.6667,132.75,79.29,90.0,100.0,17.22,ID,1683839762.0
302,yagry,,,,,,,,
303,vanino,49.0869,140.2543,38.39,63.0,8.0,3.0,RU,1683839762.0
304,ascencion,31.1,-107.9833,78.21,8.0,0.0,10.8,MX,1683839763.0
305,baiyin,36.5583,104.2081,54.48,32.0,100.0,6.82,CN,1683839763.0
306,sandnessjoen,66.0217,12.6316,48.72,97.0,75.0,4.61,NO,1683839763.0
307,lotoshino,56.2267,35.6414,47.53,75.0,25.0,3.53,RU,1683839764.0
308,shimoda,34.6667,138.95,59.11,81.0,78.0,10.94,JP,1683839764.0
309,guarapari,-20.6667,-40.4975,73.54,84.0,88.0,7.25,BR,1683839764.0
310,iskateley,67.6803,53.1512,32.54,98.0,100.0,11.48,RU,1683839598.0
311,tumaco,1.7986,-78.8156,83.17,76.0,99.0,5.23,CO,1683839765.0
312,merlo,-32.3429,-65.014,64.96,62.0,78.0,5.95,AR,1683839501.0
313,touros,-5.1989,-35.4608,79.29,77.0,71.0,11.14,BR,1683839687.0
314,jiwani,25.05,61.7417,84.7,67.0,0.0,8.1,PK,1683839766.0
315,mejit,10.2753,170.8646,81.61,81.0,99.0,16.69,MH,1683839767.0
316,kolaras,25.2333,77.6,84.18,13.0,0.0,6.98,IN,1683839767.0
317,manistee,44.2445,-86.3242,73.35,46.0,0.0,12.66,US,1683839767.0
318,camana,-16.6228,-72.7111,69.01,76.0,91.0,5.32,PE,1683839768.0
319,pangkalanbuun,-2.6833,111.6167,76.06,96.0,91.0,2.35,ID,1683839768.0
320,cargados carajos,,,,,,,,
